iter	Logloss
0	0.662199794
1	0.6348119571
2	0.6121244864
3	0.5940467667
4	0.5785460893
5	0.5653843599
6	0.5536784971
7	0.544444343
8	0.5359923101
9	0.5286996608
10	0.5227434557
11	0.516716275
12	0.5119429966
13	0.5077446991
14	0.5038776335
15	0.5006559642
16	0.4977420326
17	0.4948279378
18	0.4924087612
19	0.4904924788
20	0.4886718982
21	0.4866306838
22	0.4851891631
23	0.4837685066
24	0.4824806825
25	0.4812864128
26	0.4799622361
27	0.4789168247
28	0.4780328678
29	0.4772843908
30	0.4763317718
31	0.4757335878
32	0.4750089795
33	0.4743949911
34	0.47395605
35	0.4734227868
36	0.4728408713
37	0.4723651677
38	0.471992259
39	0.4715924285
40	0.471323151
41	0.4710074828
42	0.4706624797
43	0.470201285
44	0.4699890109
45	0.4697513902
46	0.4694310951
47	0.4691819291
48	0.4688851597
49	0.4686517738
50	0.4684644621
51	0.46820679
52	0.4680200034
53	0.4677920274
54	0.4675813545
55	0.46746432
56	0.4672538657
57	0.4670500955
58	0.4668851723
59	0.4667764476
60	0.4666488027
61	0.4665380749
62	0.4664203754
63	0.4662980757
64	0.4662307926
65	0.4661394914
66	0.4660595547
67	0.4659629796
68	0.4658399312
69	0.4656835648
70	0.4655900375
71	0.4655015628
72	0.4653988879
73	0.4652864822
74	0.4652111533
75	0.4651129462
76	0.4650590531
77	0.4649760265
78	0.4648796708
79	0.4647926594
80	0.4647476604
81	0.4646654772
82	0.4645889761
83	0.4645368409
84	0.4644503784
85	0.4644133932
86	0.4643483107
87	0.4643019085
88	0.4642259845
89	0.4641700864
90	0.4640913348
91	0.4640462884
92	0.4639723532
93	0.4638910663
94	0.4638534161
95	0.463787514
96	0.4637186016
97	0.4636703161
98	0.4636358156
99	0.4636072035
