iter	Passed	Remaining
0	310	155172
1	478	119051
2	657	108857
3	827	102604
4	1007	99727
5	1168	96225
6	1333	93901
7	1505	92560
8	1700	92790
9	1871	91718
10	2042	90813
11	2212	89973
12	2371	88856
13	2542	88255
14	2731	88319
15	2915	88208
16	3064	87074
17	3221	86275
18	3378	85531
19	3537	84893
20	3689	84165
21	3842	83485
22	3982	82585
23	4124	81795
24	4262	80984
25	4397	80178
26	4533	79428
27	4691	79090
28	4821	78312
29	4957	77660
30	5092	77040
31	5219	76332
32	5355	75784
33	5492	75285
34	5639	74924
35	5777	74460
36	5911	73977
37	6045	73495
38	6180	73059
39	6306	72530
40	6438	72079
41	6574	71697
42	6726	71490
43	6875	71259
44	7025	71033
45	7163	70698
46	7294	70304
47	7418	69855
48	7544	69444
49	7694	69251
50	7823	68874
51	7956	68552
52	8093	68263
53	8219	67885
54	8364	67675
55	8490	67314
56	8637	67129
57	8774	66864
58	8907	66577
59	9039	66290
60	9166	65965
61	9302	65719
62	9437	65462
63	9564	65155
64	9717	65029
65	9848	64760
66	9974	64464
67	10110	64228
68	10239	63958
69	10371	63707
70	10506	63484
71	10647	63295
72	10774	63021
73	10901	62754
74	11038	62550
75	11164	62287
76	11295	62049
77	11426	61818
78	11561	61610
79	11712	61492
80	11839	61242
81	11965	60995
82	12096	60774
83	12232	60581
84	12359	60342
85	12486	60108
86	12618	59901
87	12758	59731
88	12884	59501
89	13018	59305
90	13145	59084
91	13276	58878
92	13408	58680
93	13532	58447
94	13682	58329
95	13820	58160
96	13947	57948
97	14078	57750
98	14208	57550
99	14336	57345
100	14442	57054
101	14574	56869
102	14713	56712
103	14841	56512
104	14965	56300
105	15095	56109
106	15223	55912
107	15356	55737
108	15496	55589
109	15643	55461
110	15787	55327
111	15931	55192
112	16084	55085
113	16229	54953
114	16368	54799
115	16514	54668
116	16671	54573
117	16828	54477
118	16974	54346
119	17113	54194
120	17250	54033
121	17388	53876
122	17525	53717
123	17675	53595
124	17814	53442
125	17949	53277
126	18093	53141
127	18228	52975
128	18362	52810
129	18499	52652
130	18644	52516
131	18789	52382
132	18934	52248
133	19077	52106
134	19213	51948
135	19343	51772
136	19486	51632
137	19628	51489
138	19768	51340
139	19923	51233
140	20064	51086
141	20201	50930
142	20343	50787
143	20475	50619
144	20625	50498
145	20761	50339
146	20896	50180
147	21030	50018
148	21166	49861
149	21307	49716
150	21446	49567
151	21584	49416
152	21732	49289
153	21863	49122
154	21994	48956
155	22111	48759
156	22249	48609
157	22377	48436
158	22504	48265
159	22650	48131
160	22772	47948
161	22909	47798
162	23048	47652
163	23180	47491
164	23319	47346
165	23460	47204
166	23603	47065
167	23751	46937
168	23891	46793
169	24029	46646
170	24174	46510
171	24308	46356
172	24443	46202
173	24584	46060
174	24734	45935
175	24872	45788
176	25022	45662
177	25158	45511
178	25291	45355
179	25419	45190
180	25546	45023
181	25684	44877
182	25809	44708
183	25932	44535
184	26066	44383
185	26190	44214
186	26317	44050
187	26438	43876
188	26564	43712
189	26702	43566
190	26829	43405
191	26951	43235
192	27073	43064
193	27193	42892
194	27321	42734
195	27443	42565
196	27573	42409
197	27709	42263
198	27828	42092
199	27945	41918
200	28069	41755
201	28191	41589
202	28310	41419
203	28432	41255
204	28553	41089
205	28699	40959
206	28824	40799
207	28947	40638
208	29079	40488
209	29212	40340
210	29340	40187
211	29462	40024
212	29586	39864
213	29717	39715
214	29856	39577
215	29984	39423
216	30106	39263
217	30236	39113
218	30368	38965
219	30489	38804
220	30625	38662
221	30755	38513
222	30874	38350
223	30996	38191
224	31129	38047
225	31254	37893
226	31376	37735
227	31500	37579
228	31634	37436
229	31760	37283
230	31881	37125
231	32021	36990
232	32157	36849
233	32298	36715
234	32447	36589
235	32584	36450
236	32730	36321
237	32868	36182
238	32995	36032
239	33115	35874
240	33234	35717
241	33357	35562
242	33480	35409
243	33609	35262
244	33739	35116
245	33867	34968
246	33989	34814
247	34112	34662
248	34232	34507
249	34364	34364
250	34488	34213
251	34618	34069
252	34748	33924
253	34869	33771
254	34990	33617
255	35110	33464
256	35233	33314
257	35360	33167
258	35482	33016
259	35622	32882
260	35746	32733
261	35876	32589
262	35999	32440
263	36115	32285
264	36233	32132
265	36352	31978
266	36474	31829
267	36606	31688
268	36736	31547
269	36862	31401
270	36985	31253
271	37104	31102
272	37230	30957
273	37351	30808
274	37473	30659
275	37604	30519
276	37731	30375
277	37864	30236
278	37992	30094
279	38115	29947
280	38240	29803
281	38370	29661
282	38502	29523
283	38641	29389
284	38777	29253
285	38902	29108
286	39026	28964
287	39148	28817
288	39266	28668
289	39388	28522
290	39513	28379
291	39655	28247
292	39782	28105
293	39911	27965
294	40037	27822
295	40161	27678
296	40287	27536
297	40416	27396
298	40544	27255
299	40683	27122
300	40808	26979
301	40933	26837
302	41062	26697
303	41184	26552
304	41308	26410
305	41434	26269
306	41560	26127
307	41692	25990
308	41829	25855
309	41951	25712
310	42076	25570
311	42209	25433
312	42365	25310
313	42505	25178
314	42668	25059
315	42808	24926
316	42953	24796
317	43081	24656
318	43218	24521
319	43354	24387
320	43494	24254
321	43637	24122
322	43763	23981
323	43892	23842
324	44015	23700
325	44142	23560
326	44282	23427
327	44410	23288
328	44539	23149
329	44685	23019
330	44811	22879
331	44945	22743
332	45073	22604
333	45203	22466
334	45332	22328
335	45455	22186
336	45598	22055
337	45726	21916
338	45852	21776
339	45978	21636
340	46102	21496
341	46232	21358
342	46354	21217
343	46478	21077
344	46626	20948
345	46749	20807
346	46871	20666
347	47002	20529
348	47123	20388
349	47246	20248
350	47372	20109
351	47496	19970
352	47649	19842
353	47809	19718
354	47953	19586
355	48118	19463
356	48274	19336
357	48426	19208
358	48570	19076
359	48722	18947
360	48898	18827
361	49026	18689
362	49170	18557
363	49299	18419
364	49428	18281
365	49552	18142
366	49801	18047
367	49999	17934
368	50150	17804
369	50275	17664
370	50404	17526
371	50540	17390
372	50674	17253
373	50815	17119
374	50952	16984
375	51077	16844
376	51203	16705
377	51331	16567
378	51448	16425
379	51577	16287
380	51709	16150
381	51836	16012
382	51962	15873
383	52085	15734
384	52212	15596
385	52337	15457
386	52458	15317
387	52595	15182
388	52719	15043
389	52846	14905
390	52974	14767
391	53102	14630
392	53229	14492
